dataset,feature_set,model,k_pct,auc_mean,auc_std,ap_mean,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v0_baseline,BIBLIO,GBT,1,0.749597895810286,0.01674831980752555,0.3286052837938237,0.63,0.10917018207812407,0.05338983050847458,0.009251710345603735,13.79173988588382,6.774971054854941
v0_baseline,BIBLIO,GBT,5,0.749597895810286,0.01674831980752555,0.3286052837938237,0.4323943661971831,0.034530105301697166,0.17344632768361581,0.01385105918881638,6.32131962564582,0.9411199188776453
v0_baseline,BIBLIO,GBT,10,0.749597895810286,0.01674831980752555,0.3286052837938237,0.3640845070422535,0.02555515431673095,0.292090395480226,0.02050187521455254,5.303954129433035,0.7274447056038919
v0_baseline,BIBLIO,GBT,15,0.749597895810286,0.01674831980752555,0.3286052837938237,0.32300469483568073,0.023380093141762873,0.3887005649717514,0.028135366323138383,4.886398451518344,0.756903357105028
v0_baseline,BIBLIO,GBT,20,0.749597895810286,0.01674831980752555,0.3286052837938237,0.2971830985915493,0.017822972797714824,0.4768361581920904,0.028597312285598947,4.796442038210092,0.7100078024746522
v0_baseline,BIBLIO,GBT,25,0.749597895810286,0.01674831980752555,0.3286052837938237,0.2757746478873239,0.013857322677463497,0.5531073446327683,0.027792935313556713,4.7716966461523125,0.6886712992058917
v0_baseline,BIBLIO,GBT,30,0.749597895810286,0.01674831980752555,0.3286052837938237,0.2573943661971831,0.01085851868789962,0.6194915254237288,0.026134061926809237,4.786497596357853,0.6404596951000927
v0_baseline,BIBLIO,LogReg,1,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.4633333333333334,0.07639540110465759,0.03926553672316384,0.006474186534293018,6.559961137562792,1.9954995938443292
v0_baseline,BIBLIO,LogReg,5,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.35985915492957743,0.04824680837334015,0.14435028248587572,0.019353239516989546,4.549232768520534,1.0012097464548928
v0_baseline,BIBLIO,LogReg,10,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.3232394366197183,0.03456788028870872,0.2593220338983051,0.02773242373444428,4.242389315424316,0.8018875562295432
v0_baseline,BIBLIO,LogReg,15,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.2955399061032864,0.019295777653928637,0.35564971751412433,0.023220342600490402,4.043963840217628,0.5150570711421234
v0_baseline,BIBLIO,LogReg,20,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.2776408450704225,0.019927508032339513,0.44548022598870063,0.03197408068465775,4.101192535427659,0.6486000634303575
v0_baseline,BIBLIO,LogReg,25,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.257887323943662,0.017471841518144092,0.5172316384180791,0.035042394005317216,4.0255242652260605,0.6867591720730821
v0_baseline,BIBLIO,LogReg,30,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.24342723004694836,0.012400336260889865,0.5858757062146893,0.029844877102480714,4.066828643732871,0.5991222408012721
v0_baseline,BIBLIO,RF,1,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.6333333333333333,0.10259783520851541,0.053672316384180796,0.008694731797331814,14.100340117690976,8.032461030975934
v0_baseline,BIBLIO,RF,5,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.4302816901408451,0.05396696982461464,0.17259887005649718,0.021647767556766326,6.355167534226416,1.4942868925350126
v0_baseline,BIBLIO,RF,10,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.36795774647887325,0.02480622655823384,0.2951977401129944,0.01990104051564524,5.4161110195155855,0.71791991541836
