field,feature_set,model,v0_d_mean,v0_win,v2a_d_mean,v2a_win,v2a_better_d,v2a_better_win
07,BIBLIO+DEBATE25,LogReg,-0.013968795069685052,6,-0.019010629214556207,5,False,False
08,BIBLIO+DEBATE25,LogReg,0.0033267630421237814,12,0.0003473666020251842,11,False,False
09,BIBLIO+DEBATE25,LogReg,0.005881479564761172,14,0.00901749060172508,16,True,True
12,BIBLIO+DEBATE25,LogReg,-0.03201960650338628,4,-0.004991000982386073,8,True,True
13,BIBLIO+DEBATE25,LogReg,-0.005545256886937505,11,0.00024777269241599287,9,True,False
14,BIBLIO+DEBATE25,LogReg,0.01686962625105936,11,0.0135571607154653,14,False,True
GLOBAL,BIBLIO+DEBATE25,RF,-0.001816468403010124,6,-0.0011454221809457487,10,True,True
01,BIBLIO+DEBATE25,RF,0.0058500736231112405,14,0.0019008594876625095,11,False,False
03,BIBLIO+DEBATE25,RF,-0.03014580274196847,3,-0.04145317787274859,2,False,False
07,BIBLIO+DEBATE25,RF,-0.01470719867037305,7,-0.0023780079671012365,9,True,True
08,BIBLIO+DEBATE25,RF,-0.004660831101773339,10,0.0015939150274989322,12,True,True
09,BIBLIO+DEBATE25,RF,-0.005965536534378174,5,0.0019003366474729055,13,True,True
12,BIBLIO+DEBATE25,RF,-0.009752690728579122,5,0.0110942170854676,12,True,True
13,BIBLIO+DEBATE25,RF,-0.01632595419352097,8,0.004180107730224097,10,True,True
14,BIBLIO+DEBATE25,RF,0.001706938221830301,7,0.004579299404565806,9,True,True
GLOBAL,BIBLIO+DEBATE25,GBT,-0.0016775017413512838,6,0.0009195017686666085,10,True,True
01,BIBLIO+DEBATE25,GBT,0.007972976644311309,14,0.006058644457058493,14,False,False
03,BIBLIO+DEBATE25,GBT,-0.018562207244986494,6,0.01750034256232346,12,True,True
07,BIBLIO+DEBATE25,GBT,-0.018144408872076957,7,0.008081963444983081,12,True,True
08,BIBLIO+DEBATE25,GBT,0.002628334932574089,13,-0.010298713219985305,6,False,False
09,BIBLIO+DEBATE25,GBT,-0.0117545189979808,8,-0.0016416903425330697,10,True,True
12,BIBLIO+DEBATE25,GBT,0.010863900486948653,10,0.026890494657312185,16,True,True
13,BIBLIO+DEBATE25,GBT,-0.0044808591576357745,7,0.008293687390535048,11,True,True
14,BIBLIO+DEBATE25,GBT,-0.016949225719822658,7,0.011642776060555216,10,True,True
GLOBAL,BIBLIO+DEBATE25,XGB,-0.0004444429269269967,12,0.005592469167838931,14,True,True
01,BIBLIO+DEBATE25,XGB,0.01252615366128711,14,0.010486229478273245,14,False,False
03,BIBLIO+DEBATE25,XGB,-0.015271211355774153,9,0.023115867064816237,12,True,True
07,BIBLIO+DEBATE25,XGB,-0.013124644361189295,8,0.02151147307386176,11,True,True
08,BIBLIO+DEBATE25,XGB,0.012873925511475115,13,0.021959276139499866,18,True,True
09,BIBLIO+DEBATE25,XGB,-0.020152241212466986,2,-0.00023325076237206698,7,True,True
12,BIBLIO+DEBATE25,XGB,-0.007259847634056837,9,-0.001026148550638728,10,True,True
13,BIBLIO+DEBATE25,XGB,-0.001377643150948804,10,0.014167176405489599,11,True,True
14,BIBLIO+DEBATE25,XGB,0.008250188802575742,10,0.024978862883105524,12,True,True
