dataset,feature_set,model,auroc_mean,auroc_std,auprc_mean,auprc_std
v0_baseline,BIBLIO,FFN,0.7102327720036239,0.022554193682122286,0.27050333896326195,0.0230290165661778
v0_baseline,BIBLIO,GBT,0.749597895810286,0.016427235968844413,0.3286052837938237,0.02445395929656044
v0_baseline,BIBLIO,LogReg,0.7312243634393623,0.01888534083100135,0.27699156079749143,0.023659070284486737
v0_baseline,BIBLIO,RF,0.7533832293075113,0.018426960794179003,0.3323667906513452,0.0259987167718122
v0_baseline,BIBLIO,SVM,0.647520224713986,0.022540144322420335,0.2218148992094421,0.02333004103904339
v0_baseline,BIBLIO,XGB,0.710706806521076,0.01777216005629716,0.3052923025327406,0.030441883487226828
v0_baseline,BIBLIO+FOCAL6,FFN,0.696870347860528,0.022115542529565924,0.24940985202205496,0.018065030696006575
v0_baseline,BIBLIO+FOCAL6,GBT,0.7512068816381905,0.01658579667604822,0.3203191461314587,0.021382526959130732
v0_baseline,BIBLIO+FOCAL6,LogReg,0.7362237488447898,0.017271044558571168,0.2877616136358581,0.02376263221142056
v0_baseline,BIBLIO+FOCAL6,RF,0.7546235722057572,0.01832772873735335,0.3327896768510488,0.026636873296775134
v0_baseline,BIBLIO+FOCAL6,SVM,0.6573651192541099,0.013633484139006447,0.22317406011896668,0.017388505772956565
v0_baseline,BIBLIO+FOCAL6,XGB,0.7212697523866756,0.012676386508786979,0.28519687764689305,0.01940730079314248
v0_baseline,FOCAL6,FFN,0.5656088811191995,0.019030363005955436,0.1637884782539943,0.01075461484773003
v0_baseline,FOCAL6,GBT,0.5393677415242857,0.014950321939829904,0.14842690033697642,0.010648074244293025
v0_baseline,FOCAL6,LogReg,0.561084782183131,0.02206661917747784,0.16496642708948214,0.012163685896098871
v0_baseline,FOCAL6,RF,0.5657459129460932,0.01618527488528872,0.16262414291544416,0.009694380570208681
v0_baseline,FOCAL6,SVM,0.4932968218631776,0.018490750277181646,0.13002743843842107,0.009438599082808514
v0_baseline,FOCAL6,XGB,0.5257025726473546,0.016671692043922395,0.14014474588476317,0.009731551614919572
v2a_y_anchored,BIBLIO,FFN,0.7102327720036239,0.022554193682122286,0.27050333896326195,0.0230290165661778
v2a_y_anchored,BIBLIO,GBT,0.749597895810286,0.016427235968844413,0.3286052837938237,0.02445395929656044
v2a_y_anchored,BIBLIO,LogReg,0.7312243634393623,0.01888534083100135,0.27699156079749143,0.023659070284486737
v2a_y_anchored,BIBLIO,RF,0.7533832293075113,0.018426960794179003,0.3323667906513452,0.0259987167718122
v2a_y_anchored,BIBLIO,SVM,0.647520224713986,0.022540144322420335,0.2218148992094421,0.02333004103904339
v2a_y_anchored,BIBLIO,XGB,0.710706806521076,0.01777216005629716,0.3052923025327406,0.030441883487226828
v2a_y_anchored,BIBLIO+FOCAL6,FFN,0.6875362496983934,0.025144548430864024,0.24808074941009797,0.024697555563620254
v2a_y_anchored,BIBLIO+FOCAL6,GBT,0.7508533759452237,0.017748055945328824,0.3284418437985201,0.02284249020570291
v2a_y_anchored,BIBLIO+FOCAL6,LogReg,0.7345916588135137,0.01638737923371358,0.27962114919637965,0.017836717192877122
v2a_y_anchored,BIBLIO+FOCAL6,RF,0.7546900394706293,0.018088904223224428,0.33063935245471804,0.02427725985035869
v2a_y_anchored,BIBLIO+FOCAL6,SVM,0.6589116213004822,0.01491320771729412,0.21942885698678333,0.01806104404954213
v2a_y_anchored,BIBLIO+FOCAL6,XGB,0.7236732724201824,0.021217812188256188,0.2960725259028303,0.020902552804395954
v2a_y_anchored,FOCAL6,FFN,0.553693599566597,0.021794588217344556,0.14807865815809015,0.012162435782027041
v2a_y_anchored,FOCAL6,GBT,0.5396777703419422,0.017704401900562782,0.14648716848051652,0.011070822448063298
v2a_y_anchored,FOCAL6,LogReg,0.5580674642738451,0.022209016070487565,0.14974091429671604,0.01089895655110157
v2a_y_anchored,FOCAL6,RF,0.5565103775431697,0.02415832435373452,0.1551884082525384,0.014696339564023126
v2a_y_anchored,FOCAL6,SVM,0.5105542960160614,0.024546420281680633,0.1297554083358689,0.008215972719382883
v2a_y_anchored,FOCAL6,XGB,0.5283503371165044,0.01943037770026512,0.1439479292292119,0.011214767103260317
