subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,DOR_mean,DOR_std,n_obs
13,cross_domain_attack+prediction_volatility,2,20,0.27582,0.03465,0.44256,0.0556,4.13591,1.10041,30
14,conf_gap_change+var_conf_pro,2,5,0.37371,0.06848,0.14991,0.02747,4.98424,1.76028,30
14,conf_gap_change+var_conf_pro,2,10,0.32582,0.04461,0.26139,0.03579,4.35232,1.09002,30
14,conf_gap_change+var_conf_pro,2,15,0.29875,0.03863,0.35951,0.04648,4.22277,1.06219,30
14,conf_gap_change+var_conf_pro,2,20,0.27711,0.03131,0.44463,0.05023,4.15073,0.9742,30
15,conf_gap_change+H_final,2,5,0.36995,0.07238,0.1484,0.02903,4.89454,1.59858,30
15,conf_gap_change+H_final,2,10,0.32371,0.05323,0.2597,0.04271,4.34483,1.2806,30
15,conf_gap_change+H_final,2,15,0.29515,0.04096,0.35518,0.04929,4.13526,1.1105,30
15,conf_gap_change+H_final,2,20,0.27383,0.0305,0.43936,0.04893,4.03781,0.95215,30
16,conf_gap_change+delta_H,2,5,0.37981,0.06905,0.15235,0.0277,5.11832,1.6753,30
16,conf_gap_change+delta_H,2,10,0.323,0.05037,0.25913,0.04041,4.31524,1.24654,30
16,conf_gap_change+delta_H,2,15,0.29405,0.03857,0.35386,0.04641,4.09189,1.06108,30
16,conf_gap_change+delta_H,2,20,0.27124,0.02833,0.43522,0.04545,3.94119,0.89227,30
17,conf_gap_change+semantic_coherence,2,5,0.38638,0.08967,0.15499,0.03597,5.42069,2.16344,30
17,conf_gap_change+semantic_coherence,2,10,0.32254,0.05811,0.25876,0.04662,4.3506,1.44361,30
17,conf_gap_change+semantic_coherence,2,15,0.29624,0.03925,0.3565,0.04723,4.15618,1.0781,30
17,conf_gap_change+semantic_coherence,2,20,0.27817,0.02865,0.44633,0.04597,4.17157,0.93922,30
18,conf_gap_change+prediction_volatility,2,5,0.38826,0.07613,0.15574,0.03054,5.38439,2.01405,30
18,conf_gap_change+prediction_volatility,2,10,0.32441,0.04783,0.26026,0.03837,4.33355,1.16373,30
18,conf_gap_change+prediction_volatility,2,15,0.29499,0.04315,0.35499,0.05193,4.14246,1.14231,30
18,conf_gap_change+prediction_volatility,2,20,0.27347,0.03221,0.43879,0.05168,4.03972,1.01487,30
19,var_conf_pro+H_final,2,5,0.38169,0.06682,0.15311,0.0268,5.1533,1.65347,30
19,var_conf_pro+H_final,2,10,0.32324,0.05126,0.25932,0.04113,4.32044,1.21225,30
19,var_conf_pro+H_final,2,15,0.29061,0.04277,0.34972,0.05147,4.02025,1.12841,30
19,var_conf_pro+H_final,2,20,0.27077,0.03263,0.43446,0.05236,3.95167,0.97434,30
20,var_conf_pro+delta_H,2,5,0.38357,0.06499,0.15386,0.02607,5.18923,1.62896,30
20,var_conf_pro+delta_H,2,10,0.32324,0.05018,0.25932,0.04026,4.31753,1.21722,30
20,var_conf_pro+delta_H,2,15,0.29014,0.03921,0.34915,0.04719,3.98836,1.0658,30
20,var_conf_pro+delta_H,2,20,0.27289,0.03153,0.43785,0.05059,4.01611,0.99466,30
21,var_conf_pro+semantic_coherence,2,5,0.3939,0.0843,0.158,0.03382,5.59784,2.28368,30
21,var_conf_pro+semantic_coherence,2,10,0.3338,0.04703,0.2678,0.03773,4.57121,1.23572,30
21,var_conf_pro+semantic_coherence,2,15,0.29922,0.03715,0.36008,0.04471,4.2264,1.01083,30
21,var_conf_pro+semantic_coherence,2,20,0.27477,0.02804,0.44087,0.04499,4.05071,0.8649,30
22,var_conf_pro+prediction_volatility,2,5,0.38216,0.07756,0.1533,0.03111,5.23887,1.95471,30
22,var_conf_pro+prediction_volatility,2,10,0.32394,0.05021,0.25989,0.04028,4.33325,1.20254,30
22,var_conf_pro+prediction_volatility,2,15,0.2975,0.03853,0.358,0.04636,4.18775,1.06775,30
22,var_conf_pro+prediction_volatility,2,20,0.27265,0.03152,0.43748,0.05057,4.00421,0.95128,30
23,H_final+delta_H,2,5,0.37793,0.0695,0.1516,0.02788,5.08512,1.75196,30
23,H_final+delta_H,2,10,0.32418,0.04706,0.26008,0.03775,4.32604,1.17303,30
23,H_final+delta_H,2,15,0.29484,0.03595,0.3548,0.04327,4.09577,0.96147,30
23,H_final+delta_H,2,20,0.27453,0.02863,0.44049,0.04593,4.04821,0.89567,30
24,H_final+semantic_coherence,2,5,0.39437,0.08254,0.15819,0.03311,5.58199,2.14333,30
24,H_final+semantic_coherence,2,10,0.33169,0.05364,0.2661,0.04304,4.55516,1.39546,30
24,H_final+semantic_coherence,2,15,0.29593,0.03962,0.35612,0.04767,4.14956,1.08235,30
24,H_final+semantic_coherence,2,20,0.27031,0.02961,0.43371,0.04752,3.9188,0.91343,30
25,H_final+prediction_volatility,2,5,0.38545,0.07177,0.15461,0.02879,5.26655,1.71467,30
25,H_final+prediction_volatility,2,10,0.32629,0.04946,0.26177,0.03968,4.3872,1.19348,30
25,H_final+prediction_volatility,2,15,0.29452,0.04401,0.35443,0.05296,4.13943,1.20677,30
25,H_final+prediction_volatility,2,20,0.27148,0.03214,0.43559,0.05157,3.97295,0.98635,30
26,delta_H+semantic_coherence,2,5,0.39202,0.08146,0.15725,0.03268,5.51173,2.09428,30
26,delta_H+semantic_coherence,2,10,0.33404,0.05353,0.26798,0.04294,4.6139,1.38965,30
26,delta_H+semantic_coherence,2,15,0.30219,0.04107,0.36365,0.04942,4.33955,1.16154,30
26,delta_H+semantic_coherence,2,20,0.2804,0.03157,0.44991,0.05065,4.26813,1.03593,30
27,delta_H+prediction_volatility,2,5,0.37512,0.07763,0.15047,0.03114,5.06524,1.88594,30
27,delta_H+prediction_volatility,2,10,0.31972,0.05343,0.2565,0.04286,4.25419,1.33488,30
