subset_id,subset_label,subset_size,seed,model,k_pct,Precision,Recall,F1,DOR
0,BIBLIO_ONLY,0,42,RF,5,0.4225352112676056,0.1694915254237288,0.24193548387096772,5.9816622421890955
0,BIBLIO_ONLY,0,42,RF,10,0.38028169014084506,0.3050847457627119,0.3385579937304075,5.7518012763329445
0,BIBLIO_ONLY,0,42,RF,15,0.3615023474178404,0.4350282485875706,0.39487179487179486,6.245421245421245
0,BIBLIO_ONLY,0,42,RF,20,0.31690140845070425,0.5084745762711864,0.3904555314533623,5.570253396988615
0,BIBLIO_ONLY,0,42,LogReg,5,0.36619718309859156,0.14689265536723164,0.20967741935483872,4.5997533819316
0,BIBLIO_ONLY,0,42,LogReg,10,0.29577464788732394,0.23728813559322035,0.2633228840125392,3.562537864184612
0,BIBLIO_ONLY,0,42,LogReg,15,0.27230046948356806,0.327683615819209,0.2974358974358974,3.420481911501567
0,BIBLIO_ONLY,0,42,LogReg,20,0.2746478873239437,0.4406779661016949,0.33839479392624733,3.9561852847773977
0,BIBLIO_ONLY,0,42,GBT,5,0.4084507042253521,0.1638418079096045,0.23387096774193544,5.606694394929689
0,BIBLIO_ONLY,0,42,GBT,10,0.34507042253521125,0.2768361581920904,0.3072100313479624,4.731746395056077
0,BIBLIO_ONLY,0,42,GBT,15,0.3051643192488263,0.3672316384180791,0.33333333333333337,4.287272727272727
0,BIBLIO_ONLY,0,42,GBT,20,0.2887323943661972,0.4632768361581921,0.35574837310195234,4.43455497382199
0,BIBLIO_ONLY,0,42,SVM,5,0.28169014084507044,0.11299435028248588,0.16129032258064513,3.0088149175527814
0,BIBLIO_ONLY,0,42,SVM,10,0.2746478873239437,0.22033898305084745,0.2445141065830721,3.137184115523466
0,BIBLIO_ONLY,0,42,SVM,15,0.22065727699530516,0.2655367231638418,0.24102564102564103,2.351144247695972
0,BIBLIO_ONLY,0,42,SVM,20,0.21830985915492956,0.3502824858757062,0.2689804772234273,2.4794493895617493
0,BIBLIO_ONLY,0,42,FFN,5,0.30985915492957744,0.12429378531073447,0.1774193548387097,3.4858228588132123
0,BIBLIO_ONLY,0,42,FFN,10,0.31690140845070425,0.2542372881355932,0.2821316614420063,4.030943396226415
0,BIBLIO_ONLY,0,42,FFN,15,0.29107981220657275,0.3502824858757062,0.31794871794871793,3.895032360378895
0,BIBLIO_ONLY,0,42,FFN,20,0.2852112676056338,0.4576271186440678,0.35140997830802595,4.309951496479994
0,BIBLIO_ONLY,0,42,XGB,5,0.4647887323943662,0.1864406779661017,0.26612903225806456,7.247067811081652
0,BIBLIO_ONLY,0,42,XGB,10,0.352112676056338,0.2824858757062147,0.3134796238244514,4.922077371489136
0,BIBLIO_ONLY,0,42,XGB,15,0.323943661971831,0.3898305084745763,0.3538461538461538,4.865099740085788
0,BIBLIO_ONLY,0,42,XGB,20,0.27816901408450706,0.4463276836158192,0.34273318872017355,4.070880729185965
0,BIBLIO_ONLY,0,0,RF,5,0.38028169014084506,0.15254237288135594,0.21774193548387097,4.917130165366382
0,BIBLIO_ONLY,0,0,RF,10,0.31690140845070425,0.2542372881355932,0.2821316614420063,4.030943396226415
0,BIBLIO_ONLY,0,0,RF,15,0.29577464788732394,0.3559322033898305,0.3230769230769231,4.022124214771722
0,BIBLIO_ONLY,0,0,RF,20,0.2887323943661972,0.4632768361581921,0.35574837310195234,4.43455497382199
0,BIBLIO_ONLY,0,0,LogReg,5,0.36619718309859156,0.14689265536723164,0.20967741935483872,4.5997533819316
0,BIBLIO_ONLY,0,0,LogReg,10,0.31690140845070425,0.2542372881355932,0.2821316614420063,4.030943396226415
0,BIBLIO_ONLY,0,0,LogReg,15,0.29577464788732394,0.3559322033898305,0.3230769230769231,4.022124214771722
0,BIBLIO_ONLY,0,0,LogReg,20,0.2711267605633803,0.4350282485875706,0.33405639913232105,3.844572319127255
0,BIBLIO_ONLY,0,0,GBT,5,0.36619718309859156,0.14689265536723164,0.20967741935483872,4.5997533819316
0,BIBLIO_ONLY,0,0,GBT,10,0.323943661971831,0.2598870056497175,0.28840125391849525,4.197541322721094
0,BIBLIO_ONLY,0,0,GBT,15,0.27699530516431925,0.3333333333333333,0.3025641025641026,3.534267338494941
0,BIBLIO_ONLY,0,0,GBT,20,0.2676056338028169,0.4293785310734463,0.32971800433839477,3.735939327355849
0,BIBLIO_ONLY,0,0,SVM,5,0.29577464788732394,0.11864406779661017,0.16935483870967744,3.2413564040110083
0,BIBLIO_ONLY,0,0,SVM,10,0.2535211267605634,0.2033898305084746,0.22570532915360503,2.7502612850246355
0,BIBLIO_ONLY,0,0,SVM,15,0.23943661971830985,0.288135593220339,0.26153846153846155,2.7044937671024627
0,BIBLIO_ONLY,0,0,SVM,20,0.22183098591549297,0.3559322033898305,0.2733188720173536,2.555097735763502
0,BIBLIO_ONLY,0,0,FFN,5,0.38028169014084506,0.15254237288135594,0.21774193548387097,4.917130165366382
0,BIBLIO_ONLY,0,0,FFN,10,0.323943661971831,0.2598870056497175,0.28840125391849525,4.197541322721094
0,BIBLIO_ONLY,0,0,FFN,15,0.2863849765258216,0.3446327683615819,0.3128205128205129,3.7714346021248155
0,BIBLIO_ONLY,0,0,FFN,20,0.2640845070422535,0.423728813559322,0.3253796095444685,3.630188020257291
0,BIBLIO_ONLY,0,0,XGB,5,0.36619718309859156,0.14689265536723164,0.20967741935483872,4.5997533819316
0,BIBLIO_ONLY,0,0,XGB,10,0.29577464788732394,0.23728813559322035,0.2633228840125392,3.562537864184612
0,BIBLIO_ONLY,0,0,XGB,15,0.24413145539906103,0.2937853107344633,0.2666666666666666,2.798773944469799
0,BIBLIO_ONLY,0,0,XGB,20,0.22183098591549297,0.3559322033898305,0.2733188720173536,2.555097735763502
0,BIBLIO_ONLY,0,1,RF,5,0.5774647887323944,0.23163841807909605,0.3306451612903226,12.07644268300006
0,BIBLIO_ONLY,0,1,RF,10,0.4014084507042254,0.3220338983050847,0.35736677115987464,6.454466040620223
0,BIBLIO_ONLY,0,1,RF,15,0.3333333333333333,0.4011299435028249,0.36410256410256414,5.180084012849024
0,BIBLIO_ONLY,0,1,RF,20,0.323943661971831,0.519774011299435,0.39913232104121477,5.898306371990582
