T_pct,model,feature,n_seeds,imp_mean,imp_std,imp_within_std
5,LogReg,STO,20,0.03978,0.01007,0.01322
5,LogReg,TCT,20,0.06917,0.00836,0.01532
5,LogReg,TKH,20,0.00027,0.00197,0.0021
5,LogReg,TS,20,0.03219,0.00612,0.01151
5,LogReg,TTS,20,-0.0001,0.00072,0.00085
5,LogReg,conf_gap_change,20,-0.00033,0.00122,0.00094
5,LogReg,cross_domain_attack,20,0.00117,0.00267,0.00317
5,LogReg,delta_H,20,0.00538,0.00445,0.00452
5,LogReg,semantic_coherence,20,-0.00076,0.00093,0.00071
5,LogReg,var_conf_pro,20,0.00011,0.00142,0.00109
5,RF,CKH,20,0.0304,0.00764,0.01131
5,RF,COL,20,0.0002,0.00121,0.00182
5,RF,CTO,20,0.00379,0.00536,0.00594
5,RF,CTS,20,0.02902,0.00905,0.01079
5,RF,H_final,20,0.00524,0.00683,0.00765
5,RF,INV,20,0.00463,0.0042,0.00418
5,RF,MF_B60K6,20,-0.00025,0.00042,0.00062
5,RF,MF_F01L1,12,0.00056,0.00089,0.00086
5,RF,MF_F01N3,20,0.00034,0.00068,0.00088
5,RF,MF_F02B33,20,0.00122,0.00188,0.00127
5,RF,MF_F02B37,20,0.00064,0.00087,0.00078
5,RF,MF_F02B75,1,-0.0004,,0.001
5,RF,MF_F02D23,20,0.00061,0.00147,0.00118
5,RF,MF_F02D41,20,-0.00054,0.00073,0.00098
5,RF,MF_F02M21,6,0.00076,0.00154,0.00126
5,RF,MF_F02M25,20,0.00114,0.00244,0.0017
5,RF,MF_F02M37,20,0.00113,0.00218,0.00165
5,RF,MF_F02N11,20,3e-05,0.0018,0.00147
5,RF,MF_F02P5,1,3e-05,,0.00081
5,RF,MF_other,20,-0.00019,0.00159,0.00136
5,RF,NC,20,0.00484,0.00574,0.00499
5,RF,PK,20,0.01917,0.00767,0.00934
5,RF,PKH,20,0.02982,0.00833,0.01195
5,RF,PTS,20,0.02924,0.01098,0.01121
5,RF,SK,20,0.01462,0.0069,0.00503
5,RF,STO,20,0.0125,0.00512,0.00714
5,RF,TCT,20,0.04838,0.01099,0.01072
5,RF,TKH,20,0.03711,0.00891,0.01305
5,RF,TS,20,0.02241,0.00857,0.00834
5,RF,TTS,20,0.03191,0.00928,0.01187
5,RF,conf_gap_change,20,0.00283,0.00474,0.00489
5,RF,cross_domain_attack,20,0.00873,0.0068,0.00739
5,RF,delta_H,20,0.00269,0.0042,0.00605
5,RF,semantic_coherence,20,0.0009,0.0045,0.0046
5,RF,var_conf_pro,20,-0.00295,0.00335,0.00326
5,SVM,CKH,20,0.02919,0.01312,0.01397
5,SVM,COL,20,0.00314,0.01219,0.0089
5,SVM,CTO,20,0.00293,0.01485,0.01063
5,SVM,CTS,20,0.02273,0.01313,0.01303
5,SVM,H_final,20,0.02856,0.01791,0.01486
5,SVM,INV,20,0.00223,0.00658,0.00708
5,SVM,MF_B60K6,20,-0.00196,0.00626,0.00529
5,SVM,MF_F01L1,12,-0.00085,0.00489,0.00439
5,SVM,MF_F01N3,20,0.00126,0.0043,0.00433
5,SVM,MF_F02B33,20,0.02006,0.01322,0.00859
5,SVM,MF_F02B37,20,0.01752,0.00885,0.00985
5,SVM,MF_F02B75,1,0.00314,,0.00556
5,SVM,MF_F02D23,20,0.00647,0.00946,0.00733
5,SVM,MF_F02D41,20,0.00379,0.01715,0.01007
5,SVM,MF_F02M21,6,-0.00028,0.00228,0.00374
5,SVM,MF_F02M25,20,-0.00149,0.00593,0.00601
5,SVM,MF_F02M37,20,0.00119,0.00883,0.00431
5,SVM,MF_F02N11,20,-0.00304,0.00668,0.00524
5,SVM,MF_F02P5,1,0.00109,,0.00147
5,SVM,MF_other,20,0.01688,0.02266,0.01433
5,SVM,NC,20,-0.00025,0.00624,0.0059
5,SVM,PK,20,0.00684,0.00635,0.00464
5,SVM,PKH,20,0.00754,0.00525,0.00699
5,SVM,PTS,20,0.00145,0.00404,0.00404
5,SVM,SK,20,0.03304,0.01831,0.00818
5,SVM,STO,20,0.0198,0.01263,0.01393
5,SVM,TCT,20,0.03714,0.01017,0.01153
5,SVM,TKH,20,0.00843,0.00546,0.00716
5,SVM,TS,20,0.02119,0.01082,0.01198
5,SVM,TTS,20,0.00176,0.00423,0.00414
5,SVM,conf_gap_change,20,0.00668,0.01113,0.01127
5,SVM,cross_domain_attack,20,-0.002,0.00926,0.0101
5,SVM,delta_H,20,-0.00115,0.00928,0.00867
5,SVM,semantic_coherence,20,0.0017,0.00829,0.00758
5,SVM,var_conf_pro,20,-0.00534,0.01083,0.00967
5,XGB,CKH,20,0.02133,0.01249,0.00813
5,XGB,COL,20,-0.00014,0.00057,0.00039
5,XGB,CTO,20,0.00048,0.00624,0.00607
