T_pct,target_metric,covariate,spearman_rho,p_value,n_fields
5,DOR,zY,-0.071,0.8665,8
5,DOR,ipc_subclass_entropy,0.333,0.4198,8
5,DOR,ipc_subclass_distinct,0.491,0.2166,8
5,DOR,ipc_subclass_top1_share,-0.571,0.139,8
5,DOR,ipc_tags_per_patent_mean,0.738,0.0366,8
5,DOR,ipc_maingroup_entropy,-0.167,0.6932,8
5,DOR,ipc_maingroup_distinct,0.452,0.2604,8
5,DOR,H_final_mean,-0.238,0.5702,8
5,DOR,delta_H_mean,0.19,0.6514,8
5,DOR,semantic_coherence_mean,-0.548,0.16,8
5,DOR,BL_AUROC,-0.238,0.5702,8
10,DOR,n,0.119,0.7789,8
10,DOR,Y_rate_T5,0.048,0.9108,8
10,DOR,Y_rate_T10,0.238,0.5702,8
10,DOR,Y_rate_T15,0.238,0.5702,8
10,DOR,Y_rate_T20,0.357,0.3851,8
10,DOR,PK_mean,-0.095,0.8225,8
10,DOR,SK_mean,0.214,0.6103,8
10,DOR,TCT_mean,-0.333,0.4198,8
10,DOR,CKH_mean,-0.238,0.5702,8
10,DOR,asg_HHI,0.048,0.9108,8
10,DOR,top5_share,0.095,0.8225,8
10,DOR,zX,0.048,0.9108,8
10,DOR,zY,-0.548,0.16,8
10,DOR,ipc_subclass_entropy,0.667,0.071,8
10,DOR,ipc_subclass_distinct,0.395,0.3325,8
10,DOR,ipc_subclass_top1_share,-0.381,0.3518,8
10,DOR,ipc_tags_per_patent_mean,0.214,0.6103,8
10,DOR,ipc_maingroup_entropy,0.5,0.207,8
10,DOR,ipc_maingroup_distinct,0.357,0.3851,8
10,DOR,H_final_mean,-0.238,0.5702,8
10,DOR,delta_H_mean,-0.095,0.8225,8
10,DOR,semantic_coherence_mean,0.167,0.6932,8
10,DOR,BL_AUROC,-0.619,0.1017,8
15,DOR,n,0.69,0.058,8
15,DOR,Y_rate_T5,-0.381,0.3518,8
15,DOR,Y_rate_T10,-0.357,0.3851,8
15,DOR,Y_rate_T15,-0.357,0.3851,8
15,DOR,Y_rate_T20,-0.381,0.3518,8
15,DOR,PK_mean,0.048,0.9108,8
15,DOR,SK_mean,-0.143,0.7358,8
15,DOR,TCT_mean,0.714,0.0465,8
15,DOR,CKH_mean,0.19,0.6514,8
15,DOR,asg_HHI,-0.476,0.2329,8
15,DOR,top5_share,-0.238,0.5702,8
15,DOR,zX,-0.476,0.2329,8
15,DOR,zY,-0.095,0.8225,8
15,DOR,ipc_subclass_entropy,0.381,0.3518,8
15,DOR,ipc_subclass_distinct,0.539,0.1681,8
15,DOR,ipc_subclass_top1_share,-0.333,0.4198,8
15,DOR,ipc_tags_per_patent_mean,0.19,0.6514,8
15,DOR,ipc_maingroup_entropy,0.095,0.8225,8
