T_pct,seed,feature,mean_abs_shap
5,42,CTO,0.40197306871414185
5,42,STO,0.43504756689071655
5,42,PK,0.6010473966598511
5,42,SK,0.2851821184158325
5,42,TCT,0.742769181728363
5,42,TS,0.45160001516342163
5,42,NC,0.3330654203891754
5,42,COL,0.009512343443930149
5,42,INV,0.20647765696048737
5,42,TKH,0.26815560460090637
5,42,CKH,0.5760966539382935
5,42,PKH,0.4165385663509369
5,42,TTS,0.2852745056152344
5,42,CTS,0.4535025358200073
5,42,PTS,0.20273634791374207
5,42,MF_F02D41,0.17608298361301422
5,42,MF_F02B33,0.06506336480379105
5,42,MF_F02D23,0.054391730576753616
5,42,MF_F02B37,0.0770365446805954
5,42,MF_F02M25,0.031178897246718407
5,42,MF_F01N3,0.0
5,42,MF_F02M37,0.019631750881671906
5,42,MF_B60K6,0.0
5,42,MF_F02N11,0.024547481909394264
5,42,MF_F01L1,0.0076694791205227375
5,42,MF_other,0.0574888214468956
5,42,var_conf_pro,0.2970900535583496
5,42,H_final,0.5034816265106201
5,42,delta_H,0.46098342537879944
5,42,conf_gap_change,0.3916076719760895
5,42,cross_domain_attack,0.31146159768104553
5,42,semantic_coherence,0.4874202013015747
5,0,CTO,0.29569780826568604
5,0,STO,0.38264787197113037
5,0,PK,0.7146992683410645
5,0,SK,0.27443137764930725
5,0,TCT,0.7505266070365906
5,0,TS,0.38848575949668884
5,0,NC,0.28781428933143616
5,0,COL,0.008604959584772587
5,0,INV,0.14260342717170715
5,0,TKH,0.3039127290248871
5,0,CKH,0.5527716279029846
5,0,PKH,0.3739992380142212
5,0,TTS,0.30983448028564453
5,0,CTS,0.5341991186141968
5,0,PTS,0.23284077644348145
5,0,MF_F02D41,0.11884232610464096
5,0,MF_F02B33,0.011465134099125862
5,0,MF_F02D23,0.043468404561281204
5,0,MF_F02B37,0.08105255663394928
5,0,MF_F02M25,0.08745380491018295
5,0,MF_F01N3,0.001989044016227126
5,0,MF_B60K6,0.006174060050398111
5,0,MF_F02M37,0.04550924524664879
5,0,MF_F02N11,0.0039340960793197155
5,0,MF_F01L1,0.0
5,0,MF_other,0.0936354324221611
5,0,var_conf_pro,0.2726703882217407
5,0,H_final,0.47625023126602173
5,0,delta_H,0.3969819247722626
5,0,conf_gap_change,0.46128687262535095
5,0,cross_domain_attack,0.3108481764793396
5,0,semantic_coherence,0.5603163242340088
5,1,CTO,0.3555000126361847
5,1,STO,0.4020422697067261
5,1,PK,0.6268457770347595
5,1,SK,0.314508318901062
5,1,TCT,0.7515160441398621
5,1,TS,0.4379291832447052
5,1,NC,0.2882331311702728
5,1,COL,0.0068691326305270195
5,1,INV,0.20018154382705688
5,1,TKH,0.27518826723098755
5,1,CKH,0.49703872203826904
5,1,PKH,0.3314397931098938
5,1,TTS,0.3756953179836273
5,1,CTS,0.4290589392185211
