AUROC,AUPRC,Precision,Recall,F1,Accuracy,DOR,TP,FP,FN,TN,field,T_pct,Y_rate_pct,seed,config,model,n_train,n_test,Y_pos_train,Y_pos_test
0.7474472583329584,0.25329552896014806,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,42,BIBLIO,RF,2236,560,171,43
0.7252485268319014,0.23798083108277213,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,42,BIBLIO,GBT,2236,560,171,43
0.6924114974585039,0.17764573051655153,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,42,BIBLIO,XGB,2236,560,171,43
0.7631235661913544,0.2160585317190507,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,42,BIBLIO,LogReg,2236,560,171,43
0.6727092798344654,0.21506909389191645,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,42,BIBLIO,SVM,2236,560,171,43
0.6436057757185912,0.14516565471685589,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,42,BIBLIO,FFN,2236,560,171,43
0.78017183212631,0.2749382319941293,0.3793103448275862,0.2558139534883721,0.3055555555555556,0.9107142857142857,9.553846153846154,11,18,32,499,01,5,7.65,42,+6focal,RF,2236,560,171,43
0.756196302460528,0.2682818564136677,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,42,+6focal,GBT,2236,560,171,43
0.7543070487157573,0.27210406825502487,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,42,+6focal,XGB,2236,560,171,43
0.7883585983536503,0.267684849201427,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,42,+6focal,LogReg,2236,560,171,43
0.6761729116998785,0.22478261792964566,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,42,+6focal,SVM,2236,560,171,43
0.6797714902613468,0.17577352556334336,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,42,+6focal,FFN,2236,560,171,43
0.7704556700103459,0.2695571317114726,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,0,BIBLIO,RF,2236,560,171,43
0.7330304529710765,0.1971058952216542,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,0,BIBLIO,GBT,2236,560,171,43
0.7044217534074041,0.18715255190422006,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,0,BIBLIO,XGB,2236,560,171,43
0.8071611713373217,0.28506059063386313,0.42857142857142855,0.27906976744186046,0.3380281690140845,0.9160714285714285,12.061087061087061,12,16,31,501,01,5,7.65,0,BIBLIO,LogReg,2236,560,171,43
0.6221942332778553,0.19417022693208144,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,0,BIBLIO,SVM,2236,560,171,43
0.6837299266789619,0.2017441748322206,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,0,BIBLIO,FFN,2236,560,171,43
0.7896181008501642,0.271841543435944,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,0,+6focal,RF,2236,560,171,43
0.7222347172866718,0.22234421909876934,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,0,+6focal,GBT,2236,560,171,43
0.7137780576672214,0.20359091042402427,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,0,+6focal,XGB,2236,560,171,43
0.7918672124510818,0.2866016045541194,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,0,+6focal,LogReg,2236,560,171,43
0.6449552426791417,0.20301836402341594,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,0,+6focal,SVM,2236,560,171,43
0.6276820655840942,0.1168639022554397,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,0,+6focal,FFN,2236,560,171,43
0.8029328415275965,0.3422716356931239,0.4642857142857143,0.3023255813953488,0.36619718309859156,0.9196428571428571,14.349550502379694,13,15,30,502,01,5,7.65,1,BIBLIO,RF,2236,560,171,43
0.7618190814628223,0.22393404604779107,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,1,BIBLIO,GBT,2236,560,171,43
0.7203454635419009,0.24448973401076876,0.39285714285714285,0.2558139534883721,0.30985915492957744,0.9125,10.12,11,17,32,500,01,5,7.65,1,BIBLIO,XGB,2236,560,171,43
0.7825558904232828,0.2592551297494043,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,1,BIBLIO,LogReg,2236,560,171,43
0.7263281004003419,0.2805603639970749,0.39285714285714285,0.2558139534883721,0.30985915492957744,0.9125,10.12,11,17,32,500,01,5,7.65,1,BIBLIO,SVM,2236,560,171,43
0.6243083981827178,0.1372822659977948,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,1,BIBLIO,FFN,2236,560,171,43
0.8100850164185146,0.31327213733761883,0.39285714285714285,0.2558139534883721,0.30985915492957744,0.9125,10.12,11,17,32,500,01,5,7.65,1,+6focal,RF,2236,560,171,43
0.7575457694210788,0.23519851443519735,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,1,+6focal,GBT,2236,560,171,43
0.7801268498942917,0.2858928488322205,0.39285714285714285,0.2558139534883721,0.30985915492957744,0.9125,10.12,11,17,32,500,01,5,7.65,1,+6focal,XGB,2236,560,171,43
0.7941613062840178,0.26952034624107785,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,1,+6focal,LogReg,2236,560,171,43
0.7155773469479556,0.22181719649736634,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,1,+6focal,SVM,2236,560,171,43
0.6595744680851063,0.13728465071818374,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,1,+6focal,FFN,2236,560,171,43
0.7541271197876839,0.2782840143381196,0.39285714285714285,0.2558139534883721,0.30985915492957744,0.9125,10.12,11,17,32,500,01,5,7.65,2,BIBLIO,RF,2236,560,171,43
0.7257883136161215,0.18342190111700363,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,2,BIBLIO,GBT,2236,560,171,43
0.6788268633889614,0.17062387414286792,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,2,BIBLIO,XGB,2236,560,171,43
0.7479195717691512,0.2065905528662331,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,2,BIBLIO,LogReg,2236,560,171,43
0.6792766857091449,0.17892354897777135,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,2,BIBLIO,SVM,2236,560,171,43
0.6621834375421708,0.14936584317016963,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,2,BIBLIO,FFN,2236,560,171,43
0.7913948990148891,0.28876985381243625,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,2,+6focal,RF,2236,560,171,43
0.736044262516306,0.17699640012705403,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,2,+6focal,GBT,2236,560,171,43
0.7509783635463991,0.2667862489878146,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,2,+6focal,XGB,2236,560,171,43
0.7445459043677747,0.2393613247509508,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,2,+6focal,LogReg,2236,560,171,43
0.7066708650083218,0.18180541967697833,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,2,+6focal,SVM,2236,560,171,43
0.6768026629481355,0.14136574778703384,0.10714285714285714,0.06976744186046512,0.08450704225352113,0.8839285714285714,1.6690873880416364,3,25,40,492,01,5,7.65,2,+6focal,FFN,2236,560,171,43
0.7261031892402501,0.20285722804489487,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,3,BIBLIO,RF,2236,560,171,43
0.7240789887994242,0.1933873731909334,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,3,BIBLIO,GBT,2236,560,171,43
0.6431109711663893,0.12488944631398922,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,3,BIBLIO,XGB,2236,560,171,43
0.7594800053978679,0.20771177735557675,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,3,BIBLIO,LogReg,2236,560,171,43
0.6718096351940983,0.18129142037211318,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,3,BIBLIO,SVM,2236,560,171,43
0.6889928478251091,0.1561320099449616,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,3,BIBLIO,FFN,2236,560,171,43
0.7286446853492871,0.17872537879190686,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,3,+6focal,RF,2236,560,171,43
0.7372587827808015,0.18795836557558573,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,3,+6focal,GBT,2236,560,171,43
0.677252485268319,0.18215488160160997,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,3,+6focal,XGB,2236,560,171,43
0.7112590526741938,0.1675710266971128,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,3,+6focal,LogReg,2236,560,171,43
0.6638477801268499,0.14912182950978495,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,3,+6focal,SVM,2236,560,171,43
0.6153569340110656,0.149370569080125,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,3,+6focal,FFN,2236,560,171,43
0.7996941208222752,0.3107653072355024,0.39285714285714285,0.2558139534883721,0.30985915492957744,0.9125,10.12,11,17,32,500,01,5,7.65,4,BIBLIO,RF,2236,560,171,43
0.7542170842517205,0.2326009580389657,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,4,BIBLIO,GBT,2236,560,171,43
0.7245737933516261,0.20769828066573315,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,4,BIBLIO,XGB,2236,560,171,43
0.7360442625163061,0.24456046368927511,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,4,BIBLIO,LogReg,2236,560,171,43
0.6585398767486842,0.1826492607898839,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,4,BIBLIO,SVM,2236,560,171,43
0.6446853492870316,0.13916543295676193,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,4,BIBLIO,FFN,2236,560,171,43
0.8063964733930098,0.34135627766574667,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,4,+6focal,RF,2236,560,171,43
0.7982996716297063,0.26157578495669476,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,4,+6focal,GBT,2236,560,171,43
0.7872790247852098,0.21886843268573353,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,4,+6focal,XGB,2236,560,171,43
0.7363141559084161,0.25215885925887477,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,4,+6focal,LogReg,2236,560,171,43
0.7096846745535513,0.22134158362744216,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,4,+6focal,SVM,2236,560,171,43
0.6870136296163015,0.1424637197259077,0.10714285714285714,0.06976744186046512,0.08450704225352113,0.8839285714285714,1.6690873880416364,3,25,40,492,01,5,7.65,4,+6focal,FFN,2236,560,171,43
0.7375286761729116,0.20248685621442203,0.23333333333333334,0.16279069767441862,0.1917808219178082,0.8946428571428572,4.3238122996211015,7,23,36,494,01,5,7.65,5,BIBLIO,RF,2236,560,171,43
0.7627187261031892,0.21277959998268786,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,5,BIBLIO,GBT,2236,560,171,43
0.6691107012729971,0.15701982105534898,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,5,BIBLIO,XGB,2236,560,171,43
