T_pct,seed,model,feature,importance_mean,importance_std
5,42,RF,CTO,0.004571995848562782,0.007751471703407789
5,42,RF,STO,0.010004963674924362,0.011296751498199307
5,42,RF,PK,0.02272460629032983,0.008886223816054343
5,42,RF,SK,0.02528947249672846,0.006833930979429214
5,42,RF,TCT,0.03772347818239245,0.011827508759362861
5,42,RF,TS,0.02505708226163077,0.006977869406471595
5,42,RF,NC,-0.0024890573530075176,0.005265755814493195
5,42,RF,COL,-0.0007012318938676376,0.0019722870286240477
5,42,RF,INV,0.0042511619511754195,0.0037431481950756513
5,42,RF,TKH,0.03904471819863721,0.011299833524454378
5,42,RF,CKH,0.032069401200306824,0.009264079847400485
5,42,RF,PKH,0.04081765263300392,0.011312006557279463
5,42,RF,TTS,0.03204864401425926,0.013434737493807691
5,42,RF,CTS,0.0365073778259104,0.013001841205080284
5,42,RF,PTS,0.041846487071883,0.015242548169286396
5,42,RF,MF_F02D41,-0.0006836334100447039,0.0008334114511847297
5,42,RF,MF_F02B33,-0.0007946392310816619,0.0018109985264150238
5,42,RF,MF_F02D23,0.0016371102387076285,0.0005780874183247864
5,42,RF,MF_F02B37,0.0001823022426785781,0.00047447184528470255
5,42,RF,MF_F02M25,0.0016835882857271557,0.0014518302286570671
5,42,RF,MF_F01N3,0.0007788457199584875,0.0002428610722123011
5,42,RF,MF_F02M37,-0.00025043996209559436,0.0009098460123774998
5,42,RF,MF_B60K6,-3.6550697170745214e-05,0.00019106778488808216
5,42,RF,MF_F02N11,-0.00023645142367223482,0.001385203658201498
5,42,RF,MF_F01L1,-0.0003916790758540123,0.0012468295586100058
5,42,RF,MF_other,-0.0006894995713190077,0.0017375227291948053
5,42,RF,var_conf_pro,0.0035603086503316226,0.0027061380890769596
5,42,RF,H_final,-0.0034858535264654213,0.006502016521880718
5,42,RF,delta_H,0.007379179639907907,0.005331478137480763
5,42,RF,conf_gap_change,0.0029556427959026355,0.004294313706380931
5,42,RF,cross_domain_attack,0.010220657912549025,0.005858226176422451
5,42,RF,semantic_coherence,-0.00021434050809986392,0.003771074742122539
5,42,GBT,CTO,-0.004795812463336424,0.0042486584453111115
5,42,GBT,STO,-0.00037092188980634153,0.008906185480808036
5,42,GBT,PK,0.03140652497630976,0.011225085893042764
5,42,GBT,SK,0.026302964667659468,0.005888922599091366
5,42,GBT,TCT,0.04218582193944324,0.00886221578921042
5,42,GBT,TS,0.018680564956455092,0.006163669195018683
5,42,GBT,NC,0.0002211091557241307,0.003132918027790694
5,42,GBT,COL,5.4149180993712245e-05,0.0002188040884863801
5,42,GBT,INV,0.006923875276386516,0.002118044520464097
5,42,GBT,TKH,0.041838364694734044,0.0071056750820858005
5,42,GBT,CKH,0.03378547899463029,0.009488179579554007
5,42,GBT,PKH,0.0201001759848383,0.013538594646059353
5,42,GBT,TTS,0.03478633635666266,0.0038572149401981896
5,42,GBT,CTS,0.035356707729795635,0.011801621863094325
5,42,GBT,PTS,0.016636433373945315,0.007805587901414741
5,42,GBT,MF_F02D41,-0.0014484905915797875,0.002266920142575783
5,42,GBT,MF_F02B33,-0.00203961915076023,0.0012253890400247952
