subset_id,subset_label,subset_size,seed,model,AUROC,AUPRC
0,BIBLIO_ONLY,0,42,RF,0.7616898163955621,0.34456237566178316
0,BIBLIO_ONLY,0,42,LogReg,0.7340899675403014,0.2733827132821674
0,BIBLIO_ONLY,0,42,GBT,0.7303841898960652,0.30874463711953365
0,BIBLIO_ONLY,0,42,SVM,0.6459115803275106,0.21437159392979224
0,BIBLIO_ONLY,0,42,FFN,0.7094970795376428,0.2758053982098807
0,BIBLIO_ONLY,0,42,XGB,0.716676454654302,0.29901196339998526
0,BIBLIO_ONLY,0,0,RF,0.7470442553617687,0.30242593809185986
0,BIBLIO_ONLY,0,0,LogReg,0.7394210063872311,0.2846829392052042
0,BIBLIO_ONLY,0,0,GBT,0.7155246589000124,0.2709963531581181
0,BIBLIO_ONLY,0,0,SVM,0.6224340676600336,0.1995223465332834
0,BIBLIO_ONLY,0,0,FFN,0.6662432792945365,0.24412710077192523
0,BIBLIO_ONLY,0,0,XGB,0.6827644919123907,0.2445023252216969
0,BIBLIO_ONLY,0,1,RF,0.7654707111542086,0.3890418011993778
0,BIBLIO_ONLY,0,1,LogReg,0.7493910961180387,0.28046506638908353
0,BIBLIO_ONLY,0,1,GBT,0.7461087058459325,0.33927069760016676
0,BIBLIO_ONLY,0,1,SVM,0.652927063558184,0.24169741640670706
0,BIBLIO_ONLY,0,1,FFN,0.717987589742189,0.2646578313677699
0,BIBLIO_ONLY,0,1,XGB,0.724065247180832,0.3394786773562523
0,BIBLIO_ONLY,0,2,RF,0.7395211625397778,0.3724750307244732
0,BIBLIO_ONLY,0,2,LogReg,0.7041250677192168,0.2696372648468214
0,BIBLIO_ONLY,0,2,GBT,0.728585931702609,0.352313013664001
0,BIBLIO_ONLY,0,2,SVM,0.6776519755801089,0.2582859967800191
0,BIBLIO_ONLY,0,2,FFN,0.7007743891612832,0.2847952649647425
0,BIBLIO_ONLY,0,2,XGB,0.7339989164925315,0.364134015661793
0,BIBLIO_ONLY,0,3,RF,0.7611890356328275,0.3539271358592907
0,BIBLIO_ONLY,0,3,LogReg,0.7447975707580454,0.2984693666020323
0,BIBLIO_ONLY,0,3,GBT,0.7326923339570329,0.33563464997402004
0,BIBLIO_ONLY,0,3,SVM,0.6565691054689811,0.21052348546498478
0,BIBLIO_ONLY,0,3,FFN,0.7013707735241763,0.2582167835027011
0,BIBLIO_ONLY,0,3,XGB,0.7248528387440418,0.328409888544815
0,BIBLIO_ONLY,0,4,RF,0.7512553663211279,0.3526716928634316
0,BIBLIO_ONLY,0,4,LogReg,0.7287361659314295,0.2701375365068197
0,BIBLIO_ONLY,0,4,GBT,0.7355558894093973,0.30716340019936267
0,BIBLIO_ONLY,0,4,SVM,0.6374984635135688,0.23631170103916987
0,BIBLIO_ONLY,0,4,FFN,0.7029414040982077,0.2630559147738229
0,BIBLIO_ONLY,0,4,XGB,0.722066676682282,0.3108726232466949
0,BIBLIO_ONLY,0,5,RF,0.7584097023996504,0.35228403152224985
0,BIBLIO_ONLY,0,5,LogReg,0.7533017386197571,0.31489617808053005
0,BIBLIO_ONLY,0,5,GBT,0.7513577987498691,0.3458719043926361
