AUROC,AUPRC,Precision,Recall,F1,Accuracy,DOR,TP,FP,FN,TN,T_pct,Y_rate_pct,seed,config,model,n_test,Y_pos_test
0.7645142367221696,0.27516690347204426,0.3055555555555556,0.26506024096385544,0.2838709677419355,0.9217207334273625,9.31296788215407,22,50,61,1285,5,5.84,42,BIBLIO,RF,1418,83
0.7710753124858987,0.2422828405474835,0.352112676056338,0.30120481927710846,0.3246753246753247,0.926657263751763,12.08795147504825,25,46,58,1289,5,5.84,42,BIBLIO,GBT,1418,83
0.7115112133928974,0.180759210851059,0.2676056338028169,0.2289156626506024,0.24675324675324675,0.918194640338505,7.391140642303433,19,52,64,1283,5,5.84,42,BIBLIO,XGB,1418,83
0.7589458959433238,0.20893370733620922,0.29577464788732394,0.25301204819277107,0.2727272727272727,0.921015514809591,8.756673267326732,21,50,62,1285,5,5.84,42,BIBLIO,LogReg,1418,83
0.6929290194485809,0.15674087581334514,0.2112676056338028,0.18072289156626506,0.19480519480519481,0.9125528913963329,5.124281377172017,15,56,68,1279,5,5.84,42,BIBLIO,SVM,1418,83
0.7219800550516674,0.13942793835815315,0.16901408450704225,0.14457831325301204,0.15584415584415584,0.9083215796897038,3.75066110360228,12,59,71,1276,5,5.84,42,BIBLIO,FFN,1418,83
0.7813456071476919,0.3166302667024988,0.39436619718309857,0.3373493975903614,0.36363636363636365,0.9308885754583921,15.257844050947499,28,43,55,1292,5,5.84,42,+25,RF,1418,83
0.7720680474707821,0.2323842032639658,0.29577464788732394,0.25301204819277107,0.2727272727272727,0.921015514809591,8.756673267326732,21,50,62,1285,5,5.84,42,+25,GBT,1418,83
0.7326925680249087,0.2516498918273688,0.28169014084507044,0.24096385542168675,0.2597402597402597,0.919605077574048,8.05206024004281,20,51,63,1284,5,5.84,42,+25,XGB,1418,83
0.7556879202202066,0.22757652916425863,0.323943661971831,0.27710843373493976,0.2987012987012987,0.923836389280677,10.311408366703587,23,48,60,1287,5,5.84,42,+25,LogReg,1418,83
0.6923604530481478,0.16546344859386045,0.19718309859154928,0.1686746987951807,0.18181818181818182,0.9111424541607899,4.638911479512043,14,57,69,1278,5,5.84,42,+25,SVM,1418,83
0.6524795812463337,0.12188710974248462,0.15492957746478872,0.13253012048192772,0.14285714285714285,0.9069111424541608,3.3441436306640067,11,60,72,1275,5,5.84,42,+25,FFN,1418,83
0.7887459952168223,0.3071701474816727,0.39436619718309857,0.3373493975903614,0.36363636363636365,0.9308885754583921,15.257844050947499,28,43,55,1292,5,5.84,42,+6focal,RF,1418,83
0.7685844501601914,0.2537639402009526,0.28169014084507044,0.24096385542168675,0.2597402597402597,0.919605077574048,8.05206024004281,20,51,63,1284,5,5.84,42,+6focal,GBT,1418,83
0.7541085691078923,0.22793460537852994,0.29577464788732394,0.25301204819277107,0.2727272727272727,0.921015514809591,8.756673267326732,21,50,62,1285,5,5.84,42,+6focal,XGB,1418,83
0.7652993998465772,0.23634768712639675,0.30985915492957744,0.26506024096385544,0.2857142857142857,0.922425952045134,9.50849963045085,22,49,61,1286,5,5.84,42,+6focal,LogReg,1418,83
0.6944722711068995,0.18262053219206514,0.2676056338028169,0.2289156626506024,0.24675324675324675,0.918194640338505,7.391140642303433,19,52,64,1283,5,5.84,42,+6focal,SVM,1418,83
0.7516628310996796,0.22045451064014354,0.2676056338028169,0.2289156626506024,0.24675324675324675,0.918194640338505,7.391140642303433,19,52,64,1283,5,5.84,42,+6focal,FFN,1418,83
0.7924010649338928,0.25913231756882715,0.25,0.21686746987951808,0.23225806451612904,0.9160789844851904,6.641291406961272,18,54,65,1281,5,5.84,0,BIBLIO,RF,1418,83
0.7615089571770226,0.22160469505668812,0.2535211267605634,0.21686746987951808,0.23376623376623376,0.9167842031029619,6.770706998644503,18,53,65,1282,5,5.84,0,BIBLIO,GBT,1418,83
0.7278281665989801,0.16886131294256304,0.19718309859154928,0.1686746987951807,0.18181818181818182,0.9111424541607899,4.638911479512043,14,57,69,1278,5,5.84,0,BIBLIO,XGB,1418,83
0.7748296557014576,0.1835589811530633,0.22535211267605634,0.1927710843373494,0.2077922077922078,0.9139633286318759,5.63983983983984,16,55,67,1280,5,5.84,0,BIBLIO,LogReg,1418,83
0.6495284508821804,0.146354932655454,0.16901408450704225,0.14457831325301204,0.15584415584415584,0.9083215796897038,3.75066110360228,12,59,71,1276,5,5.84,0,BIBLIO,SVM,1418,83
0.7024051261224673,0.14531235757338748,0.18309859154929578,0.1566265060240964,0.16883116883116883,0.9097320169252469,4.181669394435352,13,58,70,1277,5,5.84,0,BIBLIO,FFN,1418,83
0.7558593926266864,0.253006807090003,0.28169014084507044,0.24096385542168675,0.2597402597402597,0.919605077574048,8.05206024004281,20,51,63,1284,5,5.84,0,+25,RF,1418,83
0.7540995442443933,0.19440573333629216,0.2535211267605634,0.21686746987951808,0.23376623376623376,0.9167842031029619,6.770706998644503,18,53,65,1282,5,5.84,0,+25,GBT,1418,83
0.7434953296331392,0.1943750690180457,0.2676056338028169,0.2289156626506024,0.24675324675324675,0.918194640338505,7.391140642303433,19,52,64,1283,5,5.84,0,+25,XGB,1418,83
0.7657325932945264,0.17165963865413691,0.22535211267605634,0.1927710843373494,0.2077922077922078,0.9139633286318759,5.63983983983984,16,55,67,1280,5,5.84,0,+25,LogReg,1418,83
0.6842561256260999,0.14591388423971224,0.2112676056338028,0.18072289156626506,0.19480519480519481,0.9125528913963329,5.124281377172017,15,56,68,1279,5,5.84,0,+25,SVM,1418,83
0.7285501556788955,0.141312072413875,0.18309859154929578,0.1566265060240964,0.16883116883116883,0.9097320169252469,4.181669394435352,13,58,70,1277,5,5.84,0,+25,FFN,1418,83
0.7682911420964758,0.25946717455274687,0.273972602739726,0.24096385542168675,0.2564102564102564,0.918194640338505,7.738980057399367,20,53,63,1282,5,5.84,0,+6focal,RF,1418,83
0.7790532918189612,0.19872996852413896,0.2676056338028169,0.2289156626506024,0.24675324675324675,0.918194640338505,7.391140642303433,19,52,64,1283,5,5.84,0,+6focal,GBT,1418,83
0.7377645413113127,0.19393209020253338,0.18309859154929578,0.1566265060240964,0.16883116883116883,0.9097320169252469,4.181669394435352,13,58,70,1277,5,5.84,0,+6focal,XGB,1418,83
0.7742249898470285,0.18525436308077634,0.28169014084507044,0.24096385542168675,0.2597402597402597,0.919605077574048,8.05206024004281,20,51,63,1284,5,5.84,0,+6focal,LogReg,1418,83
0.6515590451694417,0.15655484920573992,0.18309859154929578,0.1566265060240964,0.16883116883116883,0.9097320169252469,4.181669394435352,13,58,70,1277,5,5.84,0,+6focal,SVM,1418,83
0.7392626686521365,0.1608786107609578,0.16901408450704225,0.14457831325301204,0.15584415584415584,0.9083215796897038,3.75066110360228,12,59,71,1276,5,5.84,0,+6focal,FFN,1418,83
0.7940435900906998,0.30650267432452216,0.32432432432432434,0.2891566265060241,0.3057324840764331,0.9231311706629055,10.481654047757717,24,50,59,1285,5,5.84,1,BIBLIO,RF,1418,83
0.7958485627904879,0.2607824043423122,0.323943661971831,0.27710843373493976,0.2987012987012987,0.923836389280677,10.311408366703587,23,48,60,1287,5,5.84,1,BIBLIO,GBT,1418,83
0.7467081810387618,0.2449282173755204,0.323943661971831,0.27710843373493976,0.2987012987012987,0.923836389280677,10.311408366703587,23,48,60,1287,5,5.84,1,BIBLIO,XGB,1418,83
0.7421596498352961,0.1679809246802511,0.23943661971830985,0.20481927710843373,0.22077922077922077,0.9153737658674189,6.187831965234186,17,54,66,1281,5,5.84,1,BIBLIO,LogReg,1418,83
0.5623843689364199,0.14091911095641263,0.18309859154929578,0.1566265060240964,0.16883116883116883,0.9097320169252469,4.181669394435352,13,58,70,1277,5,5.84,1,BIBLIO,SVM,1418,83
0.758783448400343,0.22467732450554723,0.2535211267605634,0.21686746987951808,0.23376623376623376,0.9167842031029619,6.770706998644503,18,53,65,1282,5,5.84,1,BIBLIO,FFN,1418,83
0.7955056179775282,0.2878860642990673,0.3150684931506849,0.27710843373493976,0.2948717948717949,0.922425952045134,9.887652401603797,23,50,60,1285,5,5.84,1,+25,RF,1418,83
0.8069130454401877,0.2435376054182921,0.323943661971831,0.27710843373493976,0.2987012987012987,0.923836389280677,10.311408366703587,23,48,60,1287,5,5.84,1,+25,GBT,1418,83
0.7762194846802942,0.23648760614661682,0.23943661971830985,0.20481927710843373,0.22077922077922077,0.9153737658674189,6.187831965234186,17,54,66,1281,5,5.84,1,+25,XGB,1418,83
0.7593520148007761,0.1782999884238244,0.28169014084507044,0.24096385542168675,0.2597402597402597,0.919605077574048,8.05206024004281,20,51,63,1284,5,5.84,1,+25,LogReg,1418,83
