T_pct,field,model,delta_mean,delta_std,wins,n_seeds,t_stat,p_paired,p_bh,sig_bh_05,sig_bh_10
10,08,GBT,0.0019,0.0444,10,20,0.195,0.8476,0.89,0,0
10,08,XGB,0.0394,0.0441,15,20,3.995,0.0008,0.0062,1,1
10,08,LogReg,-0.0032,0.0222,12,20,-0.641,0.5289,0.7467,0,0
10,08,SVM,0.033,0.0396,18,20,3.726,0.0014,0.0098,1,1
10,08,FFN,0.0022,0.0802,10,20,0.121,0.9048,0.9241,0,0
10,09,RF,-0.0152,0.0256,5,20,-2.664,0.0153,0.0818,0,1
10,09,GBT,-0.0151,0.029,5,20,-2.324,0.0314,0.1004,0,0
10,09,XGB,-0.0132,0.0378,7,20,-1.563,0.1346,0.2936,0,0
10,09,LogReg,0.0067,0.0121,17,20,2.474,0.023,0.0856,0,1
10,09,SVM,-0.0127,0.0355,7,20,-1.6,0.1262,0.2936,0,0
10,09,FFN,-0.0301,0.0526,7,20,-2.556,0.0193,0.0843,0,1
10,12,RF,0.0032,0.0663,10,20,0.217,0.8307,0.89,0,0
10,12,GBT,-0.0239,0.0678,9,20,-1.579,0.1309,0.2936,0,0
10,12,XGB,0.0193,0.0574,13,20,1.503,0.1493,0.3115,0,0
10,12,LogReg,0.005,0.0466,12,20,0.479,0.6371,0.8265,0,0
10,12,SVM,-0.0232,0.0456,4,20,-2.275,0.0347,0.1041,0,0
10,12,FFN,0.0225,0.1027,11,20,0.98,0.3396,0.6036,0,0
10,13,RF,0.0098,0.0462,10,20,0.946,0.3559,0.6101,0,0
10,13,GBT,-0.0037,0.0768,10,20,-0.215,0.8324,0.89,0,0
10,13,XGB,0.0176,0.0543,14,20,1.454,0.1624,0.3247,0,0
10,13,LogReg,-0.0023,0.0375,12,20,-0.279,0.783,0.89,0,0
10,13,SVM,-0.0597,0.0618,4,20,-4.318,0.0004,0.0054,1,1
10,13,FFN,-0.0141,0.1296,8,20,-0.485,0.633,0.8265,0,0
10,14,RF,0.015,0.0747,10,20,0.9,0.3792,0.6276,0,0
10,14,GBT,0.027,0.0989,11,20,1.223,0.2364,0.4469,0,0
10,14,XGB,0.0993,0.1074,18,20,4.135,0.0006,0.0054,1,1
10,14,LogReg,-0.0139,0.0351,5,20,-1.764,0.0937,0.2499,0,0
10,14,SVM,-0.0476,0.0512,4,20,-4.157,0.0005,0.0054,1,1
10,14,FFN,-0.0044,0.081,9,20,-0.243,0.8109,0.89,0,0
15,01,RF,0.0074,0.0087,16,20,3.814,0.0012,0.0141,1,1
15,01,GBT,0.0003,0.0122,12,20,0.115,0.9098,0.9098,0,0
15,01,XGB,0.0182,0.0192,18,20,4.248,0.0004,0.007,1,1
15,01,LogReg,0.0062,0.0086,15,20,3.258,0.0041,0.0247,1,1
15,01,SVM,-0.0056,0.0229,8,20,-1.101,0.2848,0.3798,0,0
15,01,FFN,-0.0202,0.0269,6,20,-3.344,0.0034,0.0234,1,1
15,03,RF,-0.0133,0.0649,7,20,-0.919,0.3694,0.4666,0,0
15,03,GBT,-0.0173,0.0412,5,20,-1.878,0.0759,0.1761,0,0
15,03,XGB,0.0102,0.092,10,20,0.493,0.6275,0.6548,0,0
15,03,LogReg,-0.032,0.0554,8,20,-2.579,0.0184,0.063,0,1
15,03,SVM,0.0154,0.1014,13,20,0.679,0.505,0.5638,0,0
15,03,FFN,-0.0481,0.117,6,20,-1.839,0.0816,0.1779,0,0
15,07,RF,-0.0113,0.0511,9,20,-0.989,0.3352,0.4348,0,0
15,07,GBT,0.0242,0.0529,12,20,2.049,0.0545,0.1377,0,0
15,07,XGB,0.0181,0.054,12,20,1.5,0.15,0.2667,0,0
15,07,LogReg,-0.0188,0.0237,5,20,-3.536,0.0022,0.0184,1,1
15,07,SVM,-0.0237,0.0771,8,20,-1.372,0.1861,0.2881,0,0
15,07,FFN,0.0498,0.1351,13,20,1.649,0.1156,0.227,0,0
15,08,RF,0.0181,0.0301,15,20,2.691,0.0145,0.0612,0,1
15,08,GBT,0.0365,0.0464,17,20,3.519,0.0023,0.0184,1,1
