cohort,n,asg_HHI,top5_share,top10_share,asg_per_pat_inv,self_cite_rate,PK_mean,SK_mean,TCT_mean,CKH_mean,zX,zY,emp_baseline,emp_uplift
Q01_ICE,2796,0.039921766902822425,0.3854748603351955,0.486778398510242,0.8340486409155937,0.2235904082955282,9.180257510729614,1.0675965665236051,3205.455258126195,295.8991416309013,-0.5109015743335972,-0.8351636845770651,0.741,0.006
Q03_HCCI,130,0.1264257905880746,0.6115702479338843,0.7603305785123968,0.7384615384615385,0.29743589743589743,15.015384615384615,2.046153846153846,2792.664,250.3923076923077,1.163221622861415,-0.31729345085613214,0.766,
Q07_Hybrids,306,0.05700855935877057,0.45481049562682213,0.5947521865889213,0.6830065359477124,0.18791946308724833,11.643790849673202,2.369281045751634,3505.8886861313867,605.0980392156863,-0.45108751788718154,-0.1205474902737319,,
Q08_EGR,1277,0.09487690123617609,0.5349182763744429,0.6775631500742942,0.8825371965544244,0.376502002670227,9.794831636648395,2.0266249021143303,4199.2177914110425,894.0571652310102,1.0018323183859308,0.5224358028018478,0.711,
Q09_Turbo,2132,0.026703552805861543,0.2898345153664303,0.42884160756501183,0.851782363977486,0.15792410714285715,10.378986866791745,1.6730769230769231,4361.0303107488535,374.1257035647279,-0.9652433787501042,-0.34860285547930625,0.695,
Q12_VVA,133,0.05957248589617515,0.45323741007194246,0.6690647482014389,0.736842105263158,0.46774193548387094,18.571428571428573,4.7894736842105265,3115.217054263566,301.90225563909775,-0.05759408889454483,0.8842382906999987,0.864,
Q13_AltFuels,352,0.0545347616047049,0.4579710144927536,0.5710144927536231,0.6960227272727273,0.14219114219114218,15.278409090909092,1.9517045454545454,4874.547337278106,342.6505681818182,-0.47483861115844617,0.1019096844502039,,
Q14_DirectInj,203,0.08833214667141333,0.49999999999999994,0.6462264150943396,0.7487684729064039,0.34911242603550297,9.428571428571429,1.6305418719211822,4064.839285714286,658.1724137931035,0.2946112297765265,0.11302370323418442,0.805,
AV (autonomous),6199,0.01743105521594199,0.20993768972679341,0.3498961495446557,0.8685271818035167,0.20618676590301196,17.358767543152123,11.010969511211485,2693.824856596558,54.622842393934505,-1.3990286826339533,1.1634516020394536,0.7258,0.0007
G16H (Healthcare),25598,0.003666339223551648,0.09454861636171179,0.14906245274459398,0.7796312211891554,0.13168906965053956,55.308266270802406,25.799554652707243,3869.3276623130846,,-2.648430992351076,8.67002727496804,,
